Address,Number_of_Bedrooms,ZipCode,PhoneNumber,Rent,Number_of_Active_Listing,ContactInfo,Email,Info_of_Days_Vacant
"430 N 34th St, Philadelphia, PA, 19104",7,19104,(267) 223-5245,5100,1,Keller Williams Main Line Realty  (267) 223-5245,todor.dev000@gmail.com,3 days ago
"502 S 41st St, Philadelphia, PA, 19104",8,19104,(215) 387-2712,5400,1,(215) 387-2712,todor.dev000@gmail.com,112 days ago
"3210 Powelton Ave, Philadelphia, PA, 19104",7,19104,(215) 310-6888,5800,1,City Wide Realty  (215) 310-6888,todor.dev000@gmail.com,20 hours ago
"4103 Locust St # 2, Philadelphia, PA, 19104",6,19104,(215) 386-4200,4900,1,(215) 386-4200,todor.dev000@gmail.com,5 days ago
"413 N 38th St, Philadelphia, PA, 19104",8,19104,(267) 223-5245,4950,1,Keller Williams Main Line Realty  (267) 223-5245,todor.dev000@gmail.com,3 days ago
"3619 Warren St, Philadelphia, PA, 19104",5,19104,(215) 680-4210,4500,1,(215) 680-4210,todor.dev000@gmail.com,30 days ago
"Race St, Philadelphia, PA, 19104",7,19104,(267) 422-2895,5098,1,(267) 422-2895,todor.dev000@gmail.com,12 days ago
"3206 Winter St # 1, Philadelphia, PA, 19104",5,19104,(215) 680-4210,4500,1,(215) 680-4210,todor.dev000@gmail.com,33 days ago
"3329 Powelton Ave # F, Philadelphia, PA, 19104",5,19104,(215) 386-2578,4500,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,28 days ago
"3618 Warren St, Philadelphia, PA, 19104",5,19104,(323) 388-7195,4500,1,(323) 388-7195,todor.dev000@gmail.com,28 days ago
"3206 Winter St, Philadelphia, PA, 19104",5,19104,(215) 310-6888,4500,1,City Wide Realty  (215) 310-6888,todor.dev000@gmail.com,8 days ago
"4401 Pine St, Philadelphia, PA, 19104",10,19104,(215) 767-3816,4500,1,Philadelphia Realty Exchange  (215) 767-3816,todor.dev000@gmail.com,2 days ago
"3214 Summer St, Philadelphia, PA, 19104",5,19104,(215) 386-2578,4350,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,35 days ago
"515 N Budd St, Philadelphia, PA, 19104",4,19104,(215) 917-7763,4250,1,(215) 917-7763,todor.dev000@gmail.com,377 days ago
"503 S 42nd St, Philadelphia, PA, 19104",8,19104,(267) 279-9777,4000,1,"Ikos Holdings, Inc.  (267) 279-9777",todor.dev000@gmail.com,21 days ago
"513 N Budd St, Philadelphia, PA, 19104",4,19104,(215) 917-7763,4250,1,(215) 917-7763,todor.dev000@gmail.com,372 days ago
"536 S 45th St, Philadelphia, PA, 19104",5,19104,(215) 680-4210,3750,1,(215) 680-4210,todor.dev000@gmail.com,146 days ago
"3112 Haverford Ave, Philadelphia, PA, 19104",6,19104,(267) 223-5245,3750,1,Keller Williams Main Line Realty  (267) 223-5245,todor.dev000@gmail.com,7 days ago
"3422 Sansom St # 3RD, Philadelphia, PA, 19104",3,19104,(215) 667-5968,3750,1,Buda-Levin Property Management  (215) 667-5968,todor.dev000@gmail.com,29 days ago
"3908 Warren St, Philadelphia, PA, 19104",5,19104,(610) 858-5715,3720,1,(610) 858-5715,todor.dev000@gmail.com,40 days ago
"328 N 42nd St, Philadelphia, PA, 19104",4,19104,(215) 917-7763,3550,1,(215) 917-7763,todor.dev000@gmail.com,347 days ago
"29 N Wiota St, Philadelphia, PA, 19104",4,19104,(215) 680-4210,3750,1,(215) 680-4210,todor.dev000@gmail.com,30 days ago
"3802 Spring Garden St, Philadelphia, PA, 19104",6,19104,(215) 287-5678,3600,1,Realty Mark Associates  (215) 287-5678,todor.dev000@gmail.com,29 days ago
"4331 Baltimore Ave # ENTIRE, Philadelphia, PA, 19104",5,19104,(215) 778-1699,3500,1,(215) 778-1699,todor.dev000@gmail.com,1 day ago
"3416 Spring Garden St # A, Philadelphia, PA, 19104",5,19104,(215) 519-1639,3500,1,(215) 519-1639,todor.dev000@gmail.com,7 days ago
"4248 Regent Sq, Philadelphia, PA, 19104",5,19104,(267) 994-5119,3500,1,(267) 994-5119,todor.dev000@gmail.com,18 days ago
"3625 Powelton Ave, Philadelphia, PA, 19104",3,19104,(215) 771-0081,3500,1,Lindsay Enterprises  (215) 771-0081,todor.dev000@gmail.com,128 days ago
"3327 Powelton Ave, Philadelphia, PA, 19104",4,19104,,3500,1,,todor.dev000@gmail.com,13 days ago
"30 N Wiota St, Philadelphia, PA, 19104",4,19104,(323) 388-7195,3500,1,(323) 388-7195,todor.dev000@gmail.com,28 days ago
"3923 Baltimore Ave, Philadelphia, PA, 19104",5,19104,(267) 536-5342,3495,1,NG Property Group  (267) 536-5342,todor.dev000@gmail.com,11 days ago
"3439 Lancaster Ave, Philadelphia, PA, 19104",5,19104,(215) 387-4137,3500,1,Kalidave LP  (215) 387-4137,todor.dev000@gmail.com,20 days ago
"417 South St FL 3RD, Philadelphia, PA, 19147",1,19147,(215) 850-3842,10500,1,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",todor.dev000@gmail.com,69 days ago
"1332 30 Kater St, Philadelphia, PA, 19147",3,19147,(215) 370-9613,6900,1,Keller Williams Philadelphia  (215) 370-9613,todor.dev000@gmail.com,11 days ago
"1237 Lombard St, Philadelphia, PA, 19147",3,19147,(215) 740-0452,7000,1,(215) 740-0452,todor.dev000@gmail.com,7 days ago
"1332 Kater St, Philadelphia, PA, 19147",3,19147,(215) 627-3500,6900,1,Keller Williams Philadelphia Center City  (215) 627-3500,todor.dev000@gmail.com,14 days ago
"3307 Hamilton St, PHILADELPHIA, PA, 19104",4,19104,(267) 223-5245,3400,1,Keller Williams Main Line Realty  (267) 223-5245,todor.dev000@gmail.com,4 days ago
"3623 Powelton Ave, Philadelphia, PA, 19104",3,19104,(215) 771-0081,3400,1,Lindsay Enterprises  (215) 771-0081,todor.dev000@gmail.com,128 days ago
"Powelton Ave, Philadelphia, PA, 19104",4,19104,(215) 386-2578,3400,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,33 days ago
"408 S 43rd St, Philadelphia, PA, 19104",5,19104,(302) 234-2500,3350,1,RE/MAX OF WILMINGTON  (302) 234-2500,todor.dev000@gmail.com,139 days ago
"402 N 38th St, Philadelphia, PA, 19104",5,19104,(267) 279-9777,3200,1,"Ikos Holdings, Inc.  (267) 279-9777",todor.dev000@gmail.com,254 days ago
"4229 Regent Sq, Philadelphia, PA, 19104",5,19104,(215) 386-2800,3100,1,"Walter M. Wood Jr., Inc.  (215) 386-2800",todor.dev000@gmail.com,92 days ago
"3225 Wallace St, Philadelphia, PA, 19104",6,19104,(215) 287-5678,3000,1,Realty Mark Associates  (215) 287-5678,todor.dev000@gmail.com,1 day ago
"3816 Hamilton St, Philadelphia, PA, 19104",4,19104,(215) 386-2578,3000,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,15 days ago
"621 S 42nd St, Philadelphia, PA, 19104",5,19104,(215) 735-7368,2950,1,OCF Realty  (215) 735-7368,todor.dev000@gmail.com,58 days ago
"4235 Sansom St, Philadelphia, PA, 19104",6,19104,(215) 704-4046,3350,1,Keller Williams Philly  (215) 704-4046,todor.dev000@gmail.com,218 days ago
"4233 Osage Ave, Philadelphia, PA, 19104",5,19104,(215) 386-4200,2900,1,(215) 386-4200,todor.dev000@gmail.com,5 days ago
"3725 Spring Garden St # 2, Philadelphia, PA, 19104",4,19104,(215) 680-4210,2900,1,(215) 680-4210,todor.dev000@gmail.com,147 days ago
"320 N 42nd St, Philadelphia, PA, 19104",5,19104,,2800,1,,todor.dev000@gmail.com,15 days ago
"4308 Walnut St, Philadelphia, PA, 19104",6,19104,(215) 386-2800,2800,1,"Walter M. Wood Jr., Inc.  (215) 386-2800",todor.dev000@gmail.com,8 hours ago
"3720 Hamilton St # B, Philadelphia, PA, 19104",5,19104,,2875,1,,todor.dev000@gmail.com,14 hours ago
"602 N 43rd St # WHOLE, Philadelphia, PA, 19104",6,19104,(215) 287-5678,3100,1,Realty Mark Associates  (215) 287-5678,todor.dev000@gmail.com,1 day ago
"3809 Haverford Ave, Philadelphia, PA, 19104",5,19104,(401) 744-2741,3500,1,(401) 744-2741,todor.dev000@gmail.com,43 days ago
"535 S 45th St, Philadelphia, PA, 19104",5,19104,(215) 386-2578,3750,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,20 days ago
"4228 Chestnut St, Philadelphia, PA, 19104",6,19104,(610) 348-8401,3200,1,http://rentalmgt.com  (610) 348-8401,todor.dev000@gmail.com,196 days ago
"520 N 36th St # 3FL, Philadelphia, PA, 19104",4,19104,(215) 287-5678,2800,1,Realty Mark Associates  (215) 287-5678,todor.dev000@gmail.com,1 day ago
"3612 Spring Garden St # C101, Philadelphia, PA, 19104",3,19104,(267) 797-2175,2604,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,273 days ago
"4042 Chestnut St, Philadelphia, PA, 19104",3,19104,(855) 205-0500,2550,1,(855) 205-0500,todor.dev000@gmail.com,348 days ago
"518 S 42nd St APT C8, Philadelphia, PA, 19104",4,19104,(215) 300-7916,2775,1,Greenzang Properties  (215) 300-7916,todor.dev000@gmail.com,40 days ago
"4300 Larchwood Ave APT 3, Philadelphia, PA, 19104",2,19104,(267) 254-7348,2767,1,U3 Ventures  (267) 254-7348,todor.dev000@gmail.com,23 hours ago
"522 N 36th St APT D, Philadelphia, PA, 19104",4,19104,(215) 287-5678,2550,1,Realty Mark Associates  (215) 287-5678,todor.dev000@gmail.com,1 day ago
"415 N 41st St # 7FXZQ8GN1, Philadelphia, PA, 19104",4,19104,(267) 296-8514,2500,1,The Philadelphia Real Estate Company  (267) 296-8514,todor.dev000@gmail.com,1 day ago
"4313 Sansom St, Philadelphia, PA, 19104",5,19104,(215) 279-8890,2500,1,Homeline Real Estate Inc  (215) 279-8890,todor.dev000@gmail.com,246 days ago
"441 N Wiota St APT 3, Philadelphia, PA, 19104",3,19104,(267) 474-2166,2500,1,Balticorp LLC  (267) 474-2166,todor.dev000@gmail.com,8 days ago
"N 40th St, Philadelphia, PA, 19104",4,19104,(484) 252-6027,2400,1,(484) 252-6027,todor.dev000@gmail.com,7 days ago
"414 N Wiota St, Philadelphia, PA, 19104",3,19104,(215) 235-5015,2400,1,Allegiance Real Estate LLC  (215) 235-5015,todor.dev000@gmail.com,13 days ago
"4219 Filbert St # 1, Philadelphia, PA, 19104",3,19104,(267) 844-7283,2400,1,Brandywine Apartments  (267) 844-7283,todor.dev000@gmail.com,1 day ago
"620 S 42nd St # 4, Philadelphia, PA, 19104",3,19104,(215) 360-7811,2490,1,(215) 360-7811,todor.dev000@gmail.com,10 days ago
"4112 Spruce St APT 4, Philadelphia, PA, 19104",4,19104,(215) 667-5968,2400,1,Buda-Levin Property Management  (215) 667-5968,todor.dev000@gmail.com,44 days ago
"4322 Sprucest # 4322, Philadephia, PA, 19104",3,19104,(215) 380-8385,2340,1,Ironwood Property  (215) 380-8385,todor.dev000@gmail.com,21 days ago
"4074 Powelton Ave, Philadelphia, PA, 19104",3,19104,(610) 812-2390,2400,1,Main Line Executive Realty  (610) 812-2390,todor.dev000@gmail.com,125 days ago
"327 N Preston St # 2, Philadelphia, PA, 19104",4,19104,(267) 804-4062,2250,1,Keller Williams Philly  (267) 804-4062,todor.dev000@gmail.com,215 days ago
"3308 Arch St # 3, Philadelphia, PA, 19104",2,19104,(215) 310-6888,2400,1,RealShout  (215) 310-6888,todor.dev000@gmail.com,89 days ago
"411 N 34th St, Philadelphia, PA, 19104",3,19104,(855) 205-0500,2250,1,(855) 205-0500,todor.dev000@gmail.com,271 days ago
"3610 Baring St FL 2ND3RD, Philadelphia, PA, 19104",4,19104,(215) 510-1681,3000,1,Salzmann Real Estate  (215) 510-1681,todor.dev000@gmail.com,9 days ago
"4200 Walnut St APT 2, Philadelphia, PA, 19104",3,19104,(215) 386-2578,2175,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,92 days ago
"4005 Chestnut St # 3FL, Philadelphia, PA, 19104",3,19104,(215) 386-2800,2175,1,"Walter M. Wood Jr., Inc.  (215) 386-2800",todor.dev000@gmail.com,13 days ago
"3716 Haverford Ave, Philadelphia, PA, 19104",3,19104,(267) 844-7283,2100,1,Brandywine Apartments  (267) 844-7283,todor.dev000@gmail.com,1 day ago
"4018 Market St APT 2, Philadelphia, PA, 19104",4,19104,(215) 387-1002,2200,1,"New Age Realty Group, Inc.  (215) 387-1002",todor.dev000@gmail.com,8 hours ago
"3406 Race St # A, Philadelphia, PA, 19104",3,19104,(215) 681-6751,2100,1,SMR Property Management  (215) 681-6751,todor.dev000@gmail.com,106 days ago
"409 S 3rd St, Philadelphia, PA, 19147",4,19147,(610) 996-1907,5300,1,Berkshire Hathaway Fox & Roach Realtors  (610) 996-1907,todor.dev000@gmail.com,8 days ago
"614 S Front St, Philadelphia, PA, 19147",5,19147,(215) 850-3842,5600,1,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",todor.dev000@gmail.com,27 days ago
"905 S 2nd St # B, Philadelphia, PA, 19147",3,19147,(215) 917-4062,4500,1,(215) 917-4062,todor.dev000@gmail.com,62 days ago
"S American St, PHILADELPHIA, PA, 19147",4,19147,,5200,1,,todor.dev000@gmail.com,90 days ago
"907 S 2nd St, Philadelphia, PA, 19147",4,19147,(215) 850-3842,4600,1,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",todor.dev000@gmail.com,114 days ago
"4210 Chestnut St, PHILADELPHIA, PA, 19104",3,19104,(855) 205-0500,2100,1,(855) 205-0500,todor.dev000@gmail.com,552 days ago
"723 S 2nd St, Philadelphia, PA, 19147",5,19147,(215) 630-6187,4400,1,Spruce Management Group  (215) 630-6187,todor.dev000@gmail.com,111 days ago
"781 S 2nd St, Philadelphia, PA, 19147",2,19147,(215) 850-3842,4250,1,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",todor.dev000@gmail.com,113 days ago
"240 Fulton St, Philadelphia, PA, 19147",2,19147,(609) 230-9227,4000,1,(609) 230-9227,todor.dev000@gmail.com,12 days ago
"606 S American St # FULLY, Philadelphia, PA, 19147",3,19147,(215) 740-0452,4000,1,(215) 740-0452,todor.dev000@gmail.com,75 days ago
"300 Lombard St, Philadelphia, PA, 19147",4,19147,(215) 495-0070,3945,1,The Philly Apartment Company  (215) 495-0070,todor.dev000@gmail.com,16 days ago
"1 Lombard Mews, Philadelphia, PA, 19147",3,19147,(215) 893-6100,3600,1,Bryant & Wilde Realty LLC  (215) 893-6100,todor.dev000@gmail.com,13 days ago
"221 Monroe St, Philadelphia, PA, 19147",5,19147,(917) 745-6287,3950,1,(917) 745-6287,todor.dev000@gmail.com,5 days ago
"606 S American St # 1, Philadelphia, PA, 19147",2,19147,(215) 207-0101,3500,1,(215) 207-0101,todor.dev000@gmail.com,65 days ago
"506 S 7th St, Philadelphia, PA, 19147",4,19147,(215) 806-1500,3750,1,Compass Real Estate  (215) 806-1500,todor.dev000@gmail.com,2 days ago
"740 S Columbus Blvd UNIT 5, Philadelphia, PA, 19147",3,19147,(267) 273-1702,3400,1,Premier Access Property Management  (267) 273-1702,todor.dev000@gmail.com,28 days ago
"617 Kater St, Philadelphia, PA, 19147",3,19147,,3400,1,,todor.dev000@gmail.com,23 days ago
"749 S 8th St # A, Philadelphia, PA, 19147",3,19147,(215) 834-1963,3200,1,eXpRealty  (215) 834-1963,todor.dev000@gmail.com,46 days ago
"708 Addison St, Philadelphia, PA, 19147",3,19147,(215) 778-9600,3250,1,Compass Real Estate  (215) 778-9600,todor.dev000@gmail.com,8 hours ago
"105 Catharine St, Philadelphia, PA, 19147",2,19147,(610) 996-1907,3400,1,Berkshire Hathaway Fox & Roach Realtors  (610) 996-1907,todor.dev000@gmail.com,21 days ago
"312 Salter St # TOWNHOUSE, Philadelphia, PA, 19147",3,19147,(267) 992-4495,3100,1,Foremost Locations  (267) 992-4495,todor.dev000@gmail.com,71 days ago
"310 Salter St, Philadelphia, PA, 19147",3,19147,(267) 992-4495,3100,1,Foremost Locations  (267) 992-4495,todor.dev000@gmail.com,36 days ago
"811 S 6th St, Philadelphia, PA, 19147",4,19147,(215) 735-7368,3500,1,OCF Realty  (215) 735-7368,todor.dev000@gmail.com,2 days ago
"1233 Bainbridge St APT H, Philadelphia, PA, 19147",2,19147,(267) 251-8446,3000,1,Prudential Fox and Roach Realtors  (267) 251-8446,todor.dev000@gmail.com,44 days ago
"740 S Columbus Blvd UNIT 71, Philadelphia, PA, 19147",3,19147,(267) 273-1702,3000,1,Premier Access Property Management  (267) 273-1702,todor.dev000@gmail.com,57 days ago
"(undisclosed Address), Philadelphia, PA, 19147",2,19147,(215) 542-2200,2950,1,BHHS Fox & Roach-Blue Bell  (215) 542-2200,todor.dev000@gmail.com,9 days ago
"909 S Darien St, Philadelphia, PA, 19147",3,19147,(215) 817-2951,2990,1,www.turbotenant.com  (215) 817-2951,todor.dev000@gmail.com,60 days ago
"956 S Front St, Philadelphia, PA, 19147",2,19147,(267) 414-0970,2979,1,Keller Williams Realty  (267) 414-0970,todor.dev000@gmail.com,144 days ago
"4258 Chestnut St, Philadelphia, PA, 19104",3,19104,(855) 205-0500,2100,1,(855) 205-0500,todor.dev000@gmail.com,552 days ago
"3425 Spring Garden St, Philadelphia, PA, 19104",3,19104,(855) 205-0500,2100,1,(855) 205-0500,todor.dev000@gmail.com,1259 days ago
"3104 Spring Garden St, Philadelphia, PA, 19104",3,19104,(855) 205-0500,2100,1,(855) 205-0500,todor.dev000@gmail.com,271 days ago
"3337 Spring Garden St, Philadelphia, PA, 19104",3,19104,(855) 205-0500,2100,1,(855) 205-0500,todor.dev000@gmail.com,697 days ago
"426A N 40th St # 3075446, Philadelphia, PA, 19104",3,19104,(215) 331-5252,2100,1,REDBLOCK Realty Inc.  (215) 331-5252,todor.dev000@gmail.com,58 days ago
"427 N Budd St, Philadelphia, PA, 19104",3,19104,(267) 270-6634,2100,1,VUE Real Estate Group  (267) 270-6634,todor.dev000@gmail.com,37 days ago
"400 S 45th St APT 1A, Philadelphia, PA, 19104",3,19104,(215) 607-6007,2095,1,Philly Living Team   (215) 607-6007,todor.dev000@gmail.com,180 days ago
"437 N 32nd St # B, Philadelphia, PA, 19104",3,19104,(267) 223-5245,2050,1,Keller Williams Main Line Realty  (267) 223-5245,todor.dev000@gmail.com,4 days ago
"326 N 40th St, Philadelphia, PA, 19104",3,19104,(484) 252-6027,2040,1,(484) 252-6027,todor.dev000@gmail.com,11 days ago
"400 S 45th St # 2D, Philadelphia, PA, 19104",3,19104,(215) 495-0070,2085,1,The Philly Apartment Company  (215) 495-0070,todor.dev000@gmail.com,46 days ago
"4228 Spruce St # 4F, Philadelphia, PA, 19104",3,19104,(215) 768-5051,2000,1,(215) 768-5051,todor.dev000@gmail.com,45 days ago
"511 N 39th St, Philadelphia, PA, 19104",3,19104,(215) 885-0880,2000,1,KW Real Estate Tri-County  (215) 885-0880,todor.dev000@gmail.com,22 days ago
"4110 Spruce St APT 2, Philadelphia, PA, 19104",2,19104,(215) 667-5968,2000,1,Buda-Levin Property Management  (215) 667-5968,todor.dev000@gmail.com,42 days ago
"4040 Spruce St APT 7, Philadelphia, PA, 19104",3,19104,(215) 925-1204,2000,1,La Gioconda Company  (215) 925-1204,todor.dev000@gmail.com,307 days ago
"3610 Baring St, Philadelphia, PA, 19104",1,19104,(215) 510-1681,2000,1,Salzmann Real Estate  (215) 510-1681,todor.dev000@gmail.com,9 days ago
"4200 Walnut St APT 3A, Philadelphia, PA, 19104",3,19104,(215) 386-2578,2000,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,120 days ago
"4031 Spruce St, Philadelphia, PA, 19104",2,19104,(484) 904-1111,1995,1,How Properties  (484) 904-1111,todor.dev000@gmail.com,29 days ago
"3205 Pearl St, Philadelphia, PA, 19104",3,19104,(401) 744-2741,1950,1,(401) 744-2741,todor.dev000@gmail.com,4 days ago
"320 N 39th St, Philadelphia, PA, 19104",3,19104,(610) 761-2834,1950,1,(610) 761-2834,todor.dev000@gmail.com,17 days ago
"3316 Brandywine St, Philadelphia, PA, 19104",3,19104,(215) 386-2800,1930,1,"Walter M. Wood Jr., Inc.  (215) 386-2800",todor.dev000@gmail.com,68 days ago
"527 S 42nd St APT 2D, Philadelphia, PA, 19104",3,19104,(215) 300-7916,1925,1,Greenzang Properties  (215) 300-7916,todor.dev000@gmail.com,19 days ago
"3509 Lancaster Ave # 3F, Philadelphia, PA, 19104",2,19104,(215) 920-0012,1900,1,(215) 920-0012,todor.dev000@gmail.com,5 days ago
"3505 Haverford Ave # 56F22GWTF, Philadelphia, PA, 19104",3,19104,(484) 840-5791,1900,1,The Philadelphia Real Estate Company  (484) 840-5791,todor.dev000@gmail.com,65 days ago
"3829 Baring St APT 4, Philadelphia, PA, 19104",3,19104,(215) 360-7811,1875,1,(215) 360-7811,todor.dev000@gmail.com,99 days ago
"4210 Sansom St APT 101, Philadelphia, PA, 19104",2,19104,(215) 900-3607,1895,1,VUE Real Estate Group  (215) 900-3607,todor.dev000@gmail.com,71 days ago
"218 S 44th St # 1, Philadelphia, PA, 19104",3,19104,(610) 818-8422,1850,1,Re Max Top Performers  (610) 818-8422,todor.dev000@gmail.com,67 days ago
"3606 Baring St # 3, Philadelphia, PA, 19104",2,19104,(215) 386-2800,1800,1,"Walter M. Wood Jr., Inc.  (215) 386-2800",todor.dev000@gmail.com,22 days ago
"1101 S 2nd St, Philadelphia, PA, 19147",3,19147,(610) 656-6900,2900,1,(610) 656-6900,todor.dev000@gmail.com,2 days ago
"1203 S 13th St, Philadelphia, PA, 19147",4,19147,(412) 606-6503,2900,1,(412) 606-6503,todor.dev000@gmail.com,15 days ago
"422 N 40th St APT C, Philadelphia, PA, 19104",2,19104,(215) 331-5252,1800,1,REDBLOCK Realty Inc.  (215) 331-5252,todor.dev000@gmail.com,58 days ago
"1419 S Hancock St # 12, Philadelphia, PA, 19147",3,19147,(267) 273-1702,2878,1,Premier Access Property Management  (267) 273-1702,todor.dev000@gmail.com,57 days ago
"1235 Rodman St, Philadelphia, PA, 19147",3,19147,(215) 923-3333,2895,1,Alvin M Levin & Son Inc  (215) 923-3333,todor.dev000@gmail.com,62 days ago
"1423 S Hancock St # 14, Philadelphia, PA, 19147",3,19147,(267) 273-1702,2878,1,Premier Access Property Management  (267) 273-1702,todor.dev000@gmail.com,57 days ago
"1211 S Juniper St, Philadelphia, PA, 19147",3,19147,(267) 225-3678,2850,1,Keller Williams Realty  (267) 225-3678,todor.dev000@gmail.com,33 days ago
"S Mildred St, PHILADELPHIA, PA, 19147",3,19147,(267) 702-5729,2800,1,(267) 702-5729,todor.dev000@gmail.com,52 days ago
"410 S Front St UNIT 103, Philadelphia, PA, 19147",1,19147,(215) 913-8615,2800,1,Coldwell Banker Preferred  (215) 913-8615,todor.dev000@gmail.com,1 day ago
"730 Montrose St # A, Philadelphia, PA, 19147",3,19147,(215) 235-5015,2799,1,Allegiance Real Estate LLC  (215) 235-5015,todor.dev000@gmail.com,2 days ago
"1421 S Hancock St # 13, Philadelphia, PA, 19147",3,19147,(267) 273-1702,2878,1,Premier Access Property Management  (267) 273-1702,todor.dev000@gmail.com,57 days ago
"938 S 5th St, Philadelphia, PA, 19147",3,19147,(215) 398-8792,2800,1,(215) 398-8792,todor.dev000@gmail.com,28 days ago
"1214-16 S Juniper St # 2B, Philadelphia, PA, 19147",2,19147,(215) 771-6177,2795,1,(215) 771-6177,todor.dev000@gmail.com,31 days ago
"227 Carpenter St, Philadelphia, PA, 19147",4,19147,(267) 218-1543,2750,1,Oxford Global Realty  (267) 218-1543,todor.dev000@gmail.com,309 days ago
"225 Carpenter St # 27, Philadelphia, PA, 19147",4,19147,(267) 218-1543,2750,1,Oxford Global Realty  (267) 218-1543,todor.dev000@gmail.com,271 days ago
"1511 13 S Camac St, Philadelphia, PA, 19147",3,19147,(215) 467-4100,2795,1,JG Real Estate  (215) 467-4100,todor.dev000@gmail.com,68 days ago
"410 S Front St, Philadelphia, PA, 19147",1,19147,(215) 913-8615,2800,1,Coldwell Banker Preferred  (215) 913-8615,todor.dev000@gmail.com,40 days ago
"930 Ellsworth St, Philadelphia, PA, 19147",4,19147,(215) 521-1615,2600,1,BHHS Fox and Roach  (215) 521-1615,todor.dev000@gmail.com,125 days ago
"1302 S Juniper St, Philadelphia, PA, 19147",2,19147,(215) 668-6868,2500,1,RS Rentals  (215) 668-6868,todor.dev000@gmail.com,13 days ago
"809 S 13th St, Philadelphia, PA, 19147",3,19147,(215) 607-6007,2500,1,Keller Williams Philly  (215) 607-6007,todor.dev000@gmail.com,44 days ago
"523 S 2nd St # 2, Philadelphia, PA, 19147",3,19147,(215) 850-6827,2600,1,RE/MAX One Realty  (215) 850-6827,todor.dev000@gmail.com,98 days ago
"1440 S 13th St, Philadelphia, PA, 19147",4,19147,(610) 565-1995,2500,1,KW Philly South  (610) 565-1995,todor.dev000@gmail.com,99 days ago
"314 Lombard St # 3, Philadelphia, PA, 19147",3,19147,(215) 908-4112,2495,1,Keller Williams Philly  (215) 908-4112,todor.dev000@gmail.com,12 days ago
"1329 Webster St, Philadelphia, PA, 19147",3,19147,(610) 715-6974,2499,1,Realty Mark- CITYSCAPE  (610) 715-6974,todor.dev000@gmail.com,8 days ago
"618 S Front St, Philadelphia, PA, 19147",3,19147,(215) 495-0070,2500,1,The Philly Apartment Company  (215) 495-0070,todor.dev000@gmail.com,65 days ago
"1216 Montrose St, Philadelphia, PA, 19147",4,19147,,2475,1,,todor.dev000@gmail.com,43 days ago
"1124 Christian St, Philadelphia, PA, 19147",4,19147,(215) 462-7790,2400,1,Russo's Real Estate  (215) 462-7790,todor.dev000@gmail.com,29 days ago
"413 S 9th St FL 2ND, Philadelphia, PA, 19147",2,19147,(267) 702-4139,2350,1,(267) 702-4139,todor.dev000@gmail.com,10 days ago
"211 Fulton St # A, Philadelphia, PA, 19147",2,19147,(215) 431-8884,2400,1,BHHS Fox & Roach-CC 1818 Ritte  (215) 431-8884,todor.dev000@gmail.com,44 days ago
"1018 Carpenter St, Philadelphia, PA, 19147",4,19147,(267) 688-1449,2400,1,Century 21 Forrester RE  (267) 688-1449,todor.dev000@gmail.com,35 days ago
"2017 Oakford St # FULLY, Philadelphia, PA, 19146",4,19146,(215) 740-0452,6000,1,(215) 740-0452,todor.dev000@gmail.com,7 days ago
"2001 Waverly St, Philadelphia, PA, 19146",5,19146,(215) 852-2040,14000,1,BHHS- Fox & Roach  (215) 852-2040,todor.dev000@gmail.com,63 days ago
"722 S American St, Philadelphia, PA, 19147",2,19147,(267) 738-3485,2350,1,(267) 738-3485,todor.dev000@gmail.com,35 days ago
"2038 Montrose St # FULLY, Philadelphia, PA, 19146",3,19146,(215) 740-0452,4300,1,(215) 740-0452,todor.dev000@gmail.com,75 days ago
"416 S 23rd St, Philadelphia, PA, 19146",4,19146,(610) 667-6655,4200,1,"Duffy Real Estate, Inc.  (610) 667-6655",todor.dev000@gmail.com,54 days ago
"2529 Graduate Sq, Philadelphia, PA, 19146",3,19146,(215) 913-8615,4000,1,Coldwell Banker Preferred  (215) 913-8615,todor.dev000@gmail.com,43 days ago
"920 S 48th St, Philadelphia, PA, 19143",6,19143,(215) 893-9800,4500,1,BHHS Fox & Roach-CC 1818 Ritte  (215) 893-9800,todor.dev000@gmail.com,9 days ago
"S 48th St, Philadelphia, PA, 19143",8,19143,(610) 716-6241,4200,1,zada holdings  (610) 716-6241,todor.dev000@gmail.com,146 days ago
"500 S Melville St, Philadelphia, PA, 19143",4,19143,,3500,1,,todor.dev000@gmail.com,9 hours ago
"4507 Kingsessing Ave # A, Philadelphia, PA, 19143",4,19143,(215) 387-1002,3000,1,"New Age Realty Group, Inc.  (215) 387-1002",todor.dev000@gmail.com,9 hours ago
